seq,c_id,p_id,ans,name,name_ja,m_id,m_kbn,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,desc
1,00,0,00_0,0　THE FOOL,愚者,D0,大アルカナ,,自由,無,可能性,創造性,新しい発見,常に私たちは願望の自由と現実の安全の葛藤の中でもがき動けないでいる。勇気を持てば自由はすぐそばにある。
2,01,0,01_0,Ⅰ　THE MAGICIAN,魔術師,D1,大アルカナ,,ほとばしる創造意欲,新たな始まり,創造の原点,アクション,第一歩,不安や守りから来る頑固として動きたくないという心を動かすのが始まりであり、だからそ全力で動かさなければならない
3,02,0,02_0,Ⅱ　THE HIGH PRIESTESS,女教皇,D2,大アルカナ,,逃げないで向き合う,頑固や知識だけで経験のない,冷静沈着,直感,専門知識,あなたが向き合わなかった問題は、いずれ運命として出会うことになる
4,03,0,03_0,Ⅲ THE EMPRESS,女帝,D3,大アルカナ,,行動し成長,繁栄と豊かさ,アクションによる快楽,愛と性,育む愛情,行動こそが最も成長する為に必要な行為でありその行為こそが成長した自分をさらに変えていく大きな力となる。
5,04,0,04_0,Ⅳ THE EMPEROR,皇帝,D4,大アルカナ,,安定させる努力,男性的,獲得意欲,確率させる,権力,心に余裕を持つこと、心が動じないことしかしそれは決して動かないことではない。
6,05,0,05_0,Ⅴ THE HIEROPHANT,教皇 法王,D5,大アルカナ,,安定から変化する,変化が伝わってくる,アドバイス,自己主張,面倒を見る,現状の外側にゴールを設定した人だけが本当の意味での進化が可能となる。
7,06,0,06_0,Ⅵ THE LOVERS,恋人,D6,大アルカナ,,選択をする,完全なる調和,バランスをとる為の選択,直感的に選択してしまう,友情・仲間との楽しい交際,心の中に住む蛇は、いつもあなたの心に誘惑をかけている。その誘惑を否定するのでなく客観的に見ることが大切
8,07,0,07_0,Ⅶ THE CHARIOT,戦車,D7,大アルカナ,,自我衝動,それに根ざした行動,自分・自体をコントロールしようとする自己主張,勝利,戦う,戦かうことで最も必要なのは、勇気ではない、信念だ。なぜなら少しの気の迷いが不安を膨張させるからだ。
9,08,0,08_0,Ⅷ THE STRENGTH,力,D8,大アルカナ,,精神力,忍耐,自己抑制受動すること,思いやり,否定的な側面を受け入れる,自分の弱さや不安感、恐れるものを受け入れることでしか今の自分を超えることはできない
10,09,0,09_0,Ⅸ THE HERMIT,隠者,D9,大アルカナ,,自己探求,導き,孤独,自分の内面を知る,自分の状況や立場を確認する,自分が求めているものを知るためには、まずを自分を知ることから始める
11,10,0,10_0,Ⅹ WHEEL of FORTUNE,運命の輪,D10,大アルカナ,,自分を成長させる出来事,時の流れがもたらす変化,サイクルの終わりと始まり,チャンス,反抗,ある出来事によってあなたの考えや行動を試されているとしたらそれは次の扉を開ける大きな出来事
12,11,0,11_0,Ⅺ JUSTICE,正義,D11,大アルカナ,,向き合ったことへの決断,正当性,公平な考え,理性的な判断,周囲の賛同が得られる,決断とは断つことを決めること、それは自分を守っていた鎧を脱ぎ生身の自分で挑む覚悟をすること
13,12,0,12_0,Ⅻ THE HANGED MAN,吊された男,D12,大アルカナ,,固定観念,外界の求めに従う,忍耐自己犠牲,手放す,一時中止,自分が成長しようと思うとき、それは同時に動けない自分を知ることになる。それはさなぎの状態、もがいて、もがいて、今までの自分（固い殻）を壊して成長するための準備をしているとき時
14,13,0,13_0,XIII DEATH,死神,D13,大アルカナ,,古いものを捨てて新しいものを取り入れる,立ち直り,価値観を変えるより優れた新しいものへの編成,人世の節目・転換期,自分や身内の健康トラブル,今までの考えや思想を捨てなければならない。古いものを捨てることは覚悟が必要だが動けるようになるためには絶対に必要なプロセスでもある
15,14,0,14_0,XIV TEMPERANCE,節制,D14,大アルカナ,,心の中の変化,健康,コントロール,和解,心のコントロール,新しい場所を目指す時には心は常にその場所に縛られていて、その縛られた心を
16,15,0,15_0,XV THE DEVIL,悪魔,D15,大アルカナ,,依存,うしろめたい与える快楽,欲望に捕らわれる,束縛,甘い誘惑,決して苦痛だけがあなたを縛っているわけではない、むしろ快楽で縛られていることがほとんどである。ただそれと引き換えに先にすすむ選択を奪われてしまうだけである。
17,16,0,16_0,XVI THE TOWER,塔,D16,大アルカナ,,崩壊,衝撃的な出来事,事態の急変,自己改革,いきなりくるショック,大きな失望や損失は時には絶望を経験することがある。それは依存していたものから強制的に手放されることで止まっていた人生はスピードを上げて進む
18,17,0,17_0,XVII THE STAR,星,D17,大アルカナ,,希望の星,発想,そこから発する想像力,未来への希望,可能性,絶望や失望を乗り越え見えたものはあなたが心から求めていた希望の星そこには手に入れるためただ一つ道が見えている。
19,18,0,18_0,XVIII THE MOON,月,D18,大アルカナ,,不安定な状況,事態の移り変わり,手探り状態,地道に努力する,不安・恐れ,その星をつかむために最後の試練で一番試されることは、それは自分を信じられるかどうか
20,19,0,19_0,XIX THE SUN,太陽,D19,大アルカナ,,幸福,物事の成就,達成・成功,物質的獲得,努力が報われる,求めていたものを手に入れた時、今までここまでの道のりを助けくれた存在に気付くだろう
21,20,0,20_0,XX JUDGEMENT,審判,D20,大アルカナ,,再生,刷新,目覚め,意識改革,復活,あなたが達成したことは決してひとつのことではない同時に止まっていたものが動き出すスイッチとなる。
22,21,0,21_0,XXI THE WORLD,世界,D21,大アルカナ,,完全なるバランス,到達・達成,最終段階,究極の調和,達成・限界,達成やゴールは本当の自分を見つけた瞬間に訪れる。同時に自分の限界を知る。
